Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;28/Sep;29/Sep;30/Sep;01/Oct;02/Oct;03/Oct;04/Oct;05/Oct;06/Oct;07/Oct;08/Oct;09/Oct;10/Oct;11/Oct;12/Oct;13/Oct;14/Oct;15/Oct;16/Oct;17/Oct;18/Oct;19/Oct;20/Oct;21/Oct;22/Oct;23/Oct;24/Oct;25/Oct;26/Oct;27/Oct;28/Oct;29/Oct;30/Oct;31/Oct;01/Nov;02/Nov;03/Nov;04/Nov;05/Nov;06/Nov;07/Nov;08/Nov;09/Nov;10/Nov;11/Nov;12/Nov;13/Nov;14/Nov;15/Nov;16/Nov;17/Nov;18/Nov;19/Nov;20/Nov;21/Nov;22/Nov;23/Nov;24/Nov;25/Nov;26/Nov;27/Nov;28/Nov;29/Nov;30/Nov;01/Dec;02/Dec;03/Dec;04/Dec;05/Dec;06/Dec;07/Dec;08/Dec;09/Dec;10/Dec;11/Dec;12/Dec;13/Dec;14/Dec;15/Dec;16/Dec;17/Dec;18/Dec;19/Dec;20/Dec;21/Dec;22/Dec;23/Dec;24/Dec;25/Dec;26/Dec;27/Dec
600 - 630;10,5;0,70%;23.433;10:14:23;10:13:19;10:14:27;10:15:12;10:14:19;10:14:23;10:13:54;10:13:57;10:15:09;10:13:57;10:13:33;10:14:38;10:14:36;10:16:10;10:14:23;10:15:56;10:13:07;10:14:22;10:13:57;10:14:31;10:13:36;10:13:49;10:13:34;10:14:48;10:14:21;10:13:28;10:13:16;10:14:33;10:14:21;10:13:55;10:14:35;10:14:21;10:14:52;10:15:10;10:13:50;10:14:07;10:14:56;10:15:05;10:15:00;10:14:10;10:15:57;10:14:19;10:13:35;10:14:53;10:14:20;10:13:43;10:15:01;10:14:20;10:14:43;10:14:08;10:14:40;10:14:25;10:13:23;10:14:38;10:14:25;10:15:51;10:13:52;10:13:50;10:14:16;10:14:40;10:14:39;10:14:53;10:15:00;10:14:39;10:15:26;10:13:27;10:14:20;10:14:32;10:13:50;10:14:28;10:13:57;10:14:53;10:13:09;10:13:36;10:13:33;10:14:27;10:14:24;10:14:24;10:14:04;10:15:02;10:14:12;10:14:41;10:14:39;10:15:09;10:13:53;10:13:08;10:14:16;10:14:15;10:14:24;10:15:50;10:13:33;10:15:01
630 - 660;11;0,50%;18.555;10:44:37;10:45:18;10:46:10;10:45:10;10:44:22;10:46:02;10:43:36;10:44:16;10:45:10;10:44:14;10:43:50;10:45:22;10:45:19;10:43:50;10:44:28;10:44:55;10:44:36;10:45:52;10:45:11;10:43:32;10:44:40;10:44:04;10:45:22;10:45:00;10:44:33;10:45:06;10:45:20;10:44:22;10:44:13;10:44:00;10:45:15;10:44:56;10:44:52;10:44:46;10:43:12;10:43:35;10:44:16;10:44:40;10:45:41;10:44:31;10:45:31;10:44:15;10:43:12;10:44:03;10:45:52;10:44:10;10:44:52;10:46:05;10:44:05;10:44:08;10:45:03;10:44:07;10:44:11;10:44:52;10:45:07;10:44:40;10:45:19;10:42:46;10:44:37;10:44:43;10:45:24;10:44:03;10:44:52;10:44:55;10:44:24;10:43:19;10:45:54;10:45:25;10:44:16;10:44:14;10:44:20;10:44:29;10:43:30;10:44:20;10:44:48;10:44:41;10:43:55;10:43:29;10:45:05;10:44:58;10:45:29;10:45:40;10:45:23;10:44:13;10:44:37;10:43:17;10:45:12;10:44:36;10:44:00;10:42:27;10:46:09;10:44:04
660 - 690;11,5;0,40%;16.010;11:14:36;11:13:26;11:14:23;11:14:41;11:14:24;11:16:56;11:15:22;11:13:34;11:14:40;11:13:30;11:15:32;11:15:01;11:15:43;11:14:01;11:15:50;11:13:29;11:14:55;11:14:34;11:15:02;11:14:23;11:15:17;11:13:23;11:14:57;11:14:16;11:15:21;11:15:02;11:15:07;11:14:13;11:14:34;11:14:58;11:14:20;11:14:32;11:14:07;11:14:06;11:14:04;11:14:51;11:15:30;11:13:31;11:14:46;11:16:07;11:16:38;11:12:52;11:13:58;11:15:12;11:13:54;11:14:45;11:15:36;11:14:33;11:13:40;11:14:35;11:14:15;11:14:19;11:14:41;11:13:48;11:14:40;11:14:19;11:15:24;11:14:15;11:15:03;11:14:06;11:15:22;11:13:20;11:12:46;11:15:51;11:14:47;11:14:36;11:13:59;11:14:21;11:15:47;11:13:20;11:13:52;11:13:44;11:14:57;11:13:54;11:15:21;11:15:15;11:15:31;11:14:41;11:15:31;11:14:02;11:14:58;11:15:46;11:14:44;11:13:50;11:14:07;11:14:42;11:13:29;11:14:59;11:15:05;11:15:19;11:13:55;11:14:09
690 - 720;12;0,40%;13.789;11:44:57;11:44:47;11:44:25;11:44:48;11:45:49;11:47:15;11:44:03;11:46:11;11:45:22;11:44:53;11:44:18;11:44:33;11:45:52;11:44:00;11:45:42;11:45:41;11:44:02;11:44:21;11:45:24;11:44:59;11:43:57;11:44:45;11:45:14;11:44:18;11:46:16;11:45:06;11:46:01;11:45:45;11:44:34;11:44:33;11:45:13;11:44:33;11:45:55;11:44:43;11:46:34;11:45:18;11:43:59;11:44:37;11:44:11;11:45:31;11:43:38;11:45:24;11:45:41;11:44:52;11:45:24;11:44:29;11:44:30;11:44:22;11:45:59;11:44:28;11:46:00;11:44:39;11:44:52;11:44:36;11:44:24;11:44:31;11:45:36;11:47:03;11:43:24;11:44:25;11:44:15;11:43:16;11:44:35;11:46:12;11:45:09;11:43:59;11:45:16;11:45:26;11:46:06;11:44:38;11:44:53;11:43:56;11:44:32;11:44:16;11:44:30;11:44:36;11:44:14;11:44:29;11:45:23;11:44:59;11:45:11;11:45:47;11:47:02;11:46:32;11:45:08;11:44:15;11:43:50;11:43:45;11:45:43;11:42:54;11:45:35;11:44:26
720 - 750;12,5;0,30%;11.963;12:14:28;12:14:29;12:13:43;12:14:56;12:13:20;12:14:53;12:14:39;12:15:30;12:14:08;12:13:52;12:13:30;12:14:35;12:13:16;12:14:49;12:14:40;12:12:28;12:14:58;12:15:59;12:14:38;12:11:56;12:13:16;12:13:28;12:13:57;12:15:21;12:15:46;12:15:23;12:14:29;12:15:31;12:14:16;12:16:17;12:14:35;12:14:06;12:14:31;12:13:43;12:14:57;12:14:08;12:15:14;12:15:18;12:14:17;12:14:32;12:13:48;12:15:59;12:15:16;12:13:42;12:15:09;12:13:35;12:13:54;12:13:45;12:14:54;12:15:16;12:14:50;12:13:32;12:15:28;12:14:44;12:13:17;12:12:40;12:14:26;12:14:40;12:13:38;12:15:15;12:14:23;12:13:56;12:13:27;12:14:59;12:14:16;12:13:42;12:14:05;12:13:16;12:16:59;12:16:50;12:13:28;12:15:41;12:15:07;12:15:16;12:15:37;12:14:55;12:14:18;12:16:14;12:14:41;12:11:52;12:14:10;12:13:49;12:12:55;12:14:25;12:14:31;12:15:51;12:15:09;12:13:51;12:12:57;12:15:40;12:13:42;12:14:58
750 - 780;13;0,30%;10.500;12:44:40;12:43:49;12:44:54;12:44:34;12:45:19;12:45:15;12:44:37;12:43:58;12:46:19;12:46:10;12:45:04;12:44:39;12:44:53;12:45:12;12:43:30;12:45:26;12:45:23;12:45:35;12:44:58;12:43:57;12:44:43;12:44:15;12:45:33;12:44:49;12:44:27;12:45:05;12:43:28;12:45:52;12:44:06;12:45:07;12:45:13;12:43:20;12:44:39;12:46:09;12:45:30;12:43:35;12:43:40;12:44:47;12:43:49;12:44:49;12:45:39;12:42:28;12:45:17;12:46:14;12:44:46;12:45:12;12:46:03;12:46:28;12:44:06;12:44:03;12:44:03;12:45:48;12:44:35;12:44:30;12:45:24;12:44:36;12:45:02;12:44:13;12:44:45;12:46:08;12:44:42;12:43:26;12:45:03;12:44:21;12:43:38;12:45:36;12:44:50;12:44:44;12:43:38;12:45:21;12:42:58;12:46:53;12:45:50;12:43:59;12:45:15;12:45:40;12:43:07;12:42:46;12:43:31;12:43:45;12:42:47;12:43:55;12:44:40;12:45:06;12:45:01;12:45:54;12:44:01;12:43:13;12:43:43;12:43:29;12:43:28;12:44:55
780 - 810;13,5;0,30%;10.278;13:14:37;13:13:10;13:13:33;13:14:14;13:14:49;13:14:13;13:14:15;13:15:00;13:13:11;13:16:19;13:13:54;13:14:00;13:12:40;13:14:07;13:13:15;13:16:14;13:13:41;13:13:07;13:14:18;13:13:31;13:14:43;13:13:33;13:13:13;13:14:10;13:15:34;13:13:21;13:15:23;13:12:28;13:13:47;13:13:10;13:12:57;13:14:17;13:14:04;13:15:54;13:13:30;13:14:35;13:14:58;13:15:41;13:16:25;13:15:19;13:16:39;13:14:43;13:15:35;13:15:41;13:15:12;13:16:32;13:14:14;13:16:28;13:14:01;13:15:02;13:15:41;13:13:19;13:15:34;13:14:32;13:12:13;13:14:32;13:14:37;13:14:30;13:14:48;13:13:41;13:13:01;13:16:28;13:16:35;13:15:34;13:15:37;13:15:24;13:13:06;13:17:31;13:14:42;13:15:24;13:13:57;13:13:49;13:14:18;13:14:17;13:16:00;13:13:19;13:17:16;13:13:52;13:15:11;13:15:35;13:14:50;13:15:32;13:14:30;13:14:55;13:14:38;13:13:49;13:14:12;13:14:03;13:14:11;13:15:23;13:15:00;13:15:56
810 - 840;14;0,30%;9.462;13:44:41;13:47:40;13:43:05;13:43:03;13:42:02;13:45:07;13:46:30;13:43:48;13:45:49;13:46:29;13:45:01;13:44:31;13:41:06;13:43:36;13:45:48;13:44:52;13:44:11;13:43:31;13:44:07;13:43:29;13:43:39;13:45:59;13:46:05;13:44:42;13:45:22;13:43:41;13:42:44;13:44:25;13:44:36;13:43:18;13:44:22;13:45:40;13:44:11;13:45:02;13:44:05;13:44:15;13:45:23;13:44:56;13:45:00;13:45:02;13:44:58;13:46:13;13:44:46;13:48:11;13:43:59;13:44:56;13:44:54;13:45:43;13:43:58;13:45:27;13:44:27;13:45:08;13:43:13;13:44:17;13:44:52;13:45:20;13:44:18;13:46:06;13:43:58;13:44:08;13:42:20;13:48:46;13:45:41;13:44:35;13:44:10;13:44:01;13:46:54;13:45:31;13:44:23;13:44:00;13:43:25;13:45:49;13:43:34;13:44:55;13:43:31;13:44:14;13:43:13;13:45:52;13:45:13;13:43:56;13:43:38;13:45:10;13:45:59;13:44:58;13:45:30;13:45:01;13:44:47;13:44:51;13:45:00;13:42:55;13:43:41;13:45:53
840 - 870;14,5;0,20%;7.962;14:14:25;14:13:56;14:15:40;14:13:46;14:15:56;14:17:29;14:13:14;14:12:19;14:15:11;14:13:47;14:13:42;14:14:57;14:14:04;14:14:38;14:14:36;14:14:04;14:13:29;14:15:30;14:14:28;14:14:31;14:15:05;14:12:54;14:14:52;14:14:33;14:14:49;14:13:46;14:15:02;14:11:01;14:16:32;14:14:08;14:13:03;14:13:01;14:13:23;14:12:34;14:16:44;14:16:31;14:13:35;14:15:19;14:14:18;14:14:41;14:16:57;14:14:36;14:12:19;14:13:21;14:15:05;14:13:53;14:15:48;14:15:27;14:12:50;14:13:47;14:14:09;14:14:20;14:15:56;14:14:17;14:15:21;14:12:10;14:15:15;14:14:55;14:15:15;14:11:58;14:15:01;14:14:54;14:15:04;14:12:25;14:14:51;14:14:23;14:15:27;14:15:27;14:15:38;14:15:51;14:16:03;14:14:52;14:15:06;14:13:33;14:14:58;14:13:39;14:14:02;14:16:47;14:15:58;14:12:53;14:13:57;14:16:26;14:14:09;14:13:44;14:15:33;14:14:04;14:13:12;14:15:36;14:14:35;14:09:28;14:11:12;14:14:51
870 - 900;15;0,20%;6.842;14:44:38;14:45:42;14:45:52;14:45:38;14:45:18;14:45:25;14:42:55;14:42:24;14:40:20;14:44:02;14:45:41;14:44:11;14:42:21;14:42:22;14:44:31;14:46:54;14:43:44;14:44:36;14:45:18;14:44:34;14:42:33;14:44:25;14:45:35;14:43:35;14:44:40;14:43:21;14:49:39;14:43:21;14:43:01;14:42:06;14:45:07;14:47:17;14:45:31;14:45:39;14:46:14;14:43:47;14:46:55;14:47:58;14:45:09;14:43:57;14:41:33;14:43:49;14:45:03;14:42:27;14:45:10;14:45:48;14:44:17;14:45:17;14:44:13;14:43:27;14:45:53;14:45:32;14:45:32;14:43:19;14:48:36;14:45:56;14:46:43;14:45:38;14:42:22;14:44:53;14:43:23;14:43:58;14:45:11;14:42:48;14:44:04;14:45:03;14:43:17;14:43:51;14:46:56;14:43:58;14:46:59;14:44:11;14:44:03;14:45:02;14:43:34;14:46:10;14:44:08;14:47:08;14:45:14;14:43:50;14:45:47;14:46:17;14:42:23;14:44:48;14:43:39;14:42:25;14:44:39;14:42:01;14:42:34;14:45:48;14:47:52;14:43:39
900 - 930;15,5;0,20%;6.043;15:14:30;15:14:34;15:16:49;15:16:28;15:14:18;15:14:59;15:13:09;15:13:07;15:13:51;15:14:45;15:14:08;15:15:06;15:13:28;15:11:17;15:16:28;15:14:17;15:14:46;15:13:45;15:14:21;15:15:44;15:14:32;15:14:25;15:13:20;15:14:08;15:18:01;15:14:43;15:14:06;15:16:01;15:13:31;15:13:48;15:15:56;15:14:59;15:13:08;15:16:59;15:12:02;15:16:44;15:14:38;15:16:42;15:13:18;15:13:17;15:16:36;15:14:21;15:15:03;15:13:29;15:16:37;15:15:35;15:13:09;15:14:23;15:10:52;15:20:07;15:12:12;15:13:20;15:14:11;15:14:17;15:15:19;15:14:36;15:11:21;15:13:27;15:14:25;15:11:31;15:14:50;15:14:55;15:13:42;15:13:17;15:13:55;15:13:38;15:13:50;15:13:32;15:15:15;15:13:37;15:16:43;15:13:00;15:13:11;15:12:51;15:16:04;15:16:25;15:15:45;15:14:50;15:12:15;15:15:12;15:13:24;15:15:19;15:12:39;15:14:52;15:16:58;15:16:06;15:16:07;15:14:37;15:11:32;15:15:33;15:18:25;15:13:20
930 - 960;16;0,10%;5.284;15:44:23;15:47:05;15:46:12;15:43:37;15:44:48;15:45:23;15:45:30;15:42:42;15:45:16;15:44:19;15:44:07;15:44:17;15:45:00;15:45:19;15:43:12;15:43:44;15:43:59;15:47:35;15:44:13;15:44:37;15:42:04;15:45:47;15:44:58;15:43:14;15:44:53;15:45:45;15:35:52;15:45:55;15:41:05;15:46:14;15:43:23;15:44:15;15:44:49;15:45:39;15:40:53;15:46:58;15:42:32;15:43:46;15:44:33;15:44:54;15:47:58;15:44:55;15:43:11;15:42:40;15:43:51;15:45:30;15:44:06;15:44:06;15:46:17;15:45:11;15:46:34;15:45:30;15:46:54;15:44:25;15:46:16;15:43:13;15:40:25;15:45:10;15:44:46;15:43:57;15:44:37;15:45:02;15:45:26;15:42:51;15:45:29;15:41:38;15:44:02;15:43:07;15:40:07;15:42:16;15:45:32;15:43:45;15:43:22;15:44:38;15:44:43;15:41:42;15:47:44;15:44:10;15:45:01;15:43:22;15:44:09;15:46:30;15:42:28;15:46:37;15:44:28;15:46:14;15:44:51;15:43:27;15:48:55;15:42:41;15:41:43;15:44:30
960 - 990;16,5;0,10%;2.958;16:11:08;16:12:23;16:10:28;16:12:02;16:09:39;16:14:06;16:11:52;16:10:26;16:11:48;16:12:39;16:09:58;16:11:15;16:05:43;16:12:05;16:12:07;16:10:06;16:14:17;16:13:13;16:11:31;16:08:05;16:09:46;16:12:41;16:10:54;16:12:25;16:09:05;16:11:39;16:12:02;16:10:48;16:13:16;16:11:31;16:09:33;16:12:24;16:11:09;16:09:22;16:10:22;16:11:42;16:12:20;16:10:24;16:11:10;16:12:36;16:08:54;16:10:05;16:13:03;16:09:13;16:09:37;16:11:55;16:13:45;16:12:26;16:10:23;16:11:02;16:09:55;16:11:59;16:08:21;16:11:03;16:08:10;16:06:32;16:11:36;16:10:33;16:10:40;16:13:29;16:12:55;16:11:05;16:09:13;16:11:11;16:13:50;16:11:13;16:11:34;16:10:36;16:08:04;16:10:37;16:14:27;16:12:57;16:09:13;16:12:39;16:10:36;16:13:58;16:12:40;16:08:22;16:11:40;16:10:42;16:12:16;16:09:42;16:12:39;16:15:24;16:11:39;16:09:18;16:13:05;16:10:04;16:10:25;16:09:57;16:08:50;16:10:47
990 - 1020;17;0,10%;3.845;16:40:45;16:38:21;16:38:13;16:40:08;16:40:58;16:35:27;16:43:38;16:37:00;16:37:53;16:44:45;16:41:24;16:39:04;16:40:41;16:35:34;16:40:17;16:38:51;16:39:28;16:37:42;16:39:29;16:40:57;16:41:38;16:45:20;16:39:58;16:40:21;16:40:11;16:40:29;16:40:34;16:36:58;16:42:28;16:37:23;16:40:39;16:40:38;16:44:35;16:39:51;16:43:43;16:37:34;16:43:10;16:38:47;16:38:04;16:40:34;16:40:31;16:40:41;16:42:08;16:41:25;16:43:16;16:37:59;16:39:35;16:42:43;16:43:31;16:44:18;16:40:32;16:38:43;16:40:13;16:41:50;16:41:29;16:39:29;16:39:30;16:45:43;16:42:28;16:40:23;16:38:27;16:43:21;16:38:49;16:37:39;16:44:50;16:42:26;16:41:37;16:40:03;16:42:28;16:43:03;16:38:37;16:45:52;16:38:35;16:43:54;16:38:22;16:37:33;16:42:13;16:45:09;16:41:32;16:42:15;16:40:02;16:40:57;16:42:38;16:39:41;16:42:11;16:45:33;16:39:29;16:43:00;16:39:40;16:38:58;16:40:58;16:39:49
1020 - 1050;17,5;0,10%;2.616;17:15:01;17:16:22;17:16:14;17:14:31;17:14:32;17:14:40;17:20:37;17:14:06;17:14:56;17:13:16;17:17:13;17:13:44;17:13:30;17:21:12;17:16:22;17:19:21;17:11:12;17:15:02;17:18:17;17:13:48;17:14:56;17:11:31;17:19:38;17:12:10;17:11:27;17:15:53;17:14:40;17:10:51;17:14:44;17:16:32;17:10:07;17:13:42;17:13:17;17:19:42;17:17:26;17:11:50;17:11:48;17:12:35;17:15:14;17:16:27;17:12:40;17:15:09;17:16:00;17:15:22;17:13:42;17:16:39;17:14:15;17:13:54;17:13:44;17:16:14;17:12:02;17:12:59;17:16:06;17:18:47;17:15:01;17:23:35;17:18:16;17:11:21;17:20:32;17:13:30;17:17:39;17:16:47;17:12:55;17:21:00;17:11:44;17:17:01;17:14:20;17:16:14;17:14:23;17:18:55;17:10:01;17:11:53;17:17:47;17:15:38;17:14:15;17:13:09;17:13:46;17:12:27;17:06:25;17:15:03;17:13:04;17:17:04;17:15:11;17:20:33;17:15:15;17:17:22;17:14:22;17:15:06;17:15:46;17:09:39;17:13:23;17:15:09
1050 - 1080;18;0,10%;2.281;17:44:32;17:45:52;17:44:27;17:44:26;17:46:02;17:42:05;17:41:54;17:44:22;17:42:50;17:44:58;17:44:11;17:46:58;17:45:36;17:46:34;17:40:00;17:42:43;17:41:12;17:44:52;17:43:25;17:52:22;17:40:36;17:44:08;17:44:05;17:44:22;17:43:34;17:43:58;17:45:10;17:46:46;17:46:17;17:48:53;17:45:53;17:47:13;17:41:24;17:45:22;17:45:33;17:43:33;17:44:34;17:44:15;17:46:10;17:45:08;17:45:28;17:44:24;17:46:52;17:43:58;17:44:24;17:44:52;17:43:07;17:46:10;17:45:16;17:45:53;17:42:28;17:43:43;17:48:22;17:45:08;17:43:21;17:40:25;17:42:28;17:44:58;17:44:26;17:44:13;17:47:42;17:40:26;17:45:19;17:48:51;17:43:46;17:43:00;17:42:51;17:45:13;17:38:14;17:39:25;17:45:43;17:43:36;17:42:17;17:45:51;17:47:03;17:38:10;17:41:45;17:42:28;17:48:00;17:45:31;17:43:34;17:38:59;17:42:10;17:51:09;17:45:03;17:42:59;17:44:28;17:49:44;17:46:29;17:47:31;17:47:02;17:46:43
1080 - 1110;18,5;0,10%;2.010;18:14:24;18:15:24;18:12:37;18:17:03;18:12:02;18:10:30;18:14:16;18:15:46;18:13:16;18:19:08;18:15:56;18:13:55;18:12:39;18:12:15;18:16:45;18:15:17;18:14:19;18:16:13;18:18:24;18:13:26;18:15:07;18:12:22;18:12:06;18:16:51;18:14:47;18:12:20;18:13:20;18:24:50;18:16:21;18:13:38;18:18:08;18:11:21;18:19:31;18:10:54;18:14:18;18:16:15;18:17:18;18:15:48;18:11:45;18:17:58;18:15:44;18:14:11;18:14:05;18:14:15;18:16:13;18:12:34;18:13:17;18:12:46;18:21:56;18:10:52;18:13:40;18:15:42;18:15:37;18:11:26;18:19:28;18:17:00;18:14:37;18:14:42;18:14:35;18:15:24;18:14:04;18:16:06;18:17:36;18:12:52;18:10:04;18:15:58;18:14:27;18:12:45;18:17:33;18:09:12;18:10:00;18:16:36;18:17:47;18:15:31;18:14:00;18:07:10;18:11:32;18:12:30;18:14:14;18:10:18;18:12:33;18:14:27;18:10:40;18:08:06;18:13:54;18:11:02;18:13:46;18:14:32;18:13:37;18:16:20;18:11:20;18:18:03
1110 - 1140;19;0,10%;1.940;18:44:46;18:43:41;18:42:46;18:44:29;18:45:24;18:42:14;18:51:09;18:46:31;18:51:51;18:45:49;18:47:11;18:48:07;18:43:44;18:46:40;18:42:39;18:46:36;18:48:11;18:44:19;18:44:55;18:50:32;18:47:13;18:42:01;18:44:48;18:43:46;18:43:09;18:42:59;18:42:31;18:44:00;18:46:35;18:49:14;18:42:04;18:42:54;18:44:28;18:45:52;18:39:13;18:40:55;18:45:35;18:44:22;18:43:28;18:44:47;18:44:07;18:42:30;18:48:09;18:46:32;18:45:20;18:42:13;18:43:06;18:47:59;18:47:17;18:41:57;18:40:18;18:45:19;18:47:30;18:45:15;18:45:49;18:46:27;18:45:38;18:49:39;18:36:41;18:43:32;18:41:32;18:46:27;18:50:47;18:42:20;18:48:14;18:42:16;18:48:20;18:39:40;18:45:54;18:42:06;18:46:38;18:47:10;18:42:35;18:44:41;18:44:15;18:44:58;18:46:24;18:36:26;18:41:40;18:45:59;18:42:37;18:44:39;18:43:51;18:44:22;18:49:18;18:42:04;18:42:10;18:43:29;18:45:21;18:45:16;18:45:41;18:44:50
1140 - 1170;19,5;0,10%;1.845;19:14:38;19:13:58;19:16:05;19:14:20;19:15:01;19:17:41;19:12:26;19:13:44;19:13:58;19:13:04;19:18:11;19:15:22;19:17:52;19:19:02;19:11:31;19:15:32;19:11:06;19:13:26;19:11:48;19:06:05;19:13:09;19:12:28;19:11:06;19:17:49;19:16:01;19:15:08;19:14:14;19:10:00;19:15:23;19:17:34;19:11:47;19:11:21;19:11:29;19:17:39;19:15:11;19:13:32;19:18:29;19:12:19;19:10:38;19:11:38;19:17:59;19:19:46;19:16:35;19:14:51;19:12:02;19:15:37;19:15:44;19:15:07;19:16:30;19:11:26;19:15:06;19:18:36;19:13:38;19:14:04;19:10:55;19:15:19;19:12:21;19:14:23;19:19:06;19:13:04;19:10:54;19:12:04;19:16:24;19:16:30;19:14:37;19:12:43;19:14:18;19:14:51;19:15:34;19:16:17;19:15:32;19:19:02;19:14:09;19:13:34;19:19:44;19:14:43;19:16:03;19:16:31;19:11:54;19:15:08;19:09:08;19:16:58;19:14:20;19:16:24;19:22:03;19:15:21;19:12:09;19:13:33;19:14:15;19:16:18;19:13:26;19:18:04
1170 - 1200;20;0,00%;1.759;19:44:45;19:40:43;19:46:20;19:50:02;19:43:16;19:41:48;19:49:04;19:42:17;19:47:49;19:44:04;19:44:00;19:45:06;19:42:19;19:37:41;19:41:53;19:49:20;19:47:12;19:48:19;19:42:39;19:44:42;19:45:39;19:48:18;19:42:15;19:49:38;19:44:30;19:46:43;19:47:21;19:39:07;19:42:09;19:43:06;19:42:16;19:42:42;19:44:38;19:44:48;19:44:24;19:47:43;19:49:49;19:46:55;19:45:30;19:43:40;19:44:51;19:41:20;19:45:00;19:44:39;19:43:08;19:47:32;19:44:16;19:40:54;19:47:28;19:41:46;19:43:48;19:43:18;19:43:19;19:44:02;19:44:12;19:40:48;19:40:26;19:41:15;19:47:14;19:45:05;19:42:13;19:48:42;19:45:55;19:43:39;19:42:35;19:47:32;19:41:56;19:42:55;19:41:37;19:47:23;19:50:15;19:46:49;19:49:20;19:48:42;19:46:13;19:46:05;19:36:22;19:45:28;19:46:20;19:45:46;19:42:32;19:44:10;19:43:20;19:52:08;19:45:08;19:45:59;19:45:55;19:43:33;19:48:42;19:37:55;19:47:24;19:45:05
1200 - 1230;20,5;0,00%;1.675;20:15:03;20:16:13;20:14:21;20:16:02;20:11:05;20:16:56;20:11:56;20:17:08;20:14:41;20:15:33;20:16:28;20:12:19;20:15:11;20:22:26;20:14:51;20:13:41;20:16:26;20:16:46;20:16:12;20:15:23;20:13:48;20:16:37;20:11:26;20:17:20;20:15:30;20:17:13;20:11:37;20:17:15;20:14:38;20:16:21;20:11:44;20:22:31;20:17:08;20:20:14;20:19:04;20:22:20;20:16:29;20:16:31;20:13:21;20:12:50;20:16:04;20:16:46;20:14:57;20:17:18;20:15:33;20:14:28;20:10:24;20:18:18;20:15:35;20:12:11;20:14:26;20:21:49;20:10:08;20:16:45;20:07:02;20:19:15;20:12:33;20:13:09;20:15:58;20:16:14;20:13:38;20:12:10;20:14:18;20:15:04;20:17:20;20:12:55;20:12:30;20:16:28;20:15:37;20:19:22;20:13:44;20:17:06;20:15:24;20:09:48;20:16:40;20:14:44;20:18:43;20:08:43;20:12:37;20:15:09;20:12:04;20:15:18;20:13:58;20:15:54;20:12:30;20:11:51;20:12:14;20:11:52;20:14:13;20:15:53;20:10:20;20:15:10
1230 - 1260;21;0,10%;1.793;20:44:52;20:40:39;20:54:35;20:43:08;20:40:03;20:46:19;20:43:32;20:42:29;20:44:02;20:47:39;20:42:37;20:44:52;20:41:21;20:44:59;20:46:28;20:40:54;20:38:33;20:46:29;20:44:06;20:36:43;20:44:27;20:36:06;20:48:54;20:40:21;20:47:17;20:48:36;20:48:18;20:44:42;20:51:43;20:50:46;20:46:19;20:47:59;20:44:50;20:39:30;20:46:32;20:53:40;20:45:41;20:43:54;20:39:52;20:43:26;20:49:30;20:42:32;20:45:32;20:48:35;20:48:16;20:46:23;20:40:55;20:46:58;20:45:58;20:45:40;20:47:47;20:44:46;20:41:26;20:47:55;20:50:03;20:45:03;20:49:05;20:46:05;20:42:40;20:41:14;20:46:39;20:47:01;20:44:42;20:50:30;20:47:06;20:47:13;20:41:40;20:51:11;20:47:49;20:37:48;20:37:20;20:40:59;20:45:40;20:44:54;20:47:18;20:42:06;20:52:49;20:43:53;20:42:25;20:43:52;20:45:48;20:45:11;20:40:35;20:42:12;20:47:57;20:38:22;20:46:45;20:42:01;20:44:00;20:45:49;20:38:24;20:43:24
1260 - 1290;21,5;0,00%;1.557;21:15:08;21:17:31;21:09:59;21:18:58;21:14:18;21:18:26;21:11:10;21:14:24;21:13:14;21:16:16;21:18:42;21:17:10;21:09:23;21:13:04;21:17:00;21:14:54;21:15:15;21:17:24;21:12:44;21:17:12;21:12:28;21:16:12;21:18:16;21:20:19;21:15:51;21:15:32;21:11:46;21:21:27;21:18:28;21:14:21;21:16:08;21:14:17;21:16:53;21:09:48;21:13:37;21:12:26;21:06:27;21:13:53;21:15:53;21:20:04;21:18:02;21:11:57;21:11:27;21:07:35;21:17:02;21:11:02;21:13:55;21:17:56;21:18:48;21:15:02;21:10:53;21:11:49;21:14:35;21:13:54;21:16:18;21:08:33;21:19:16;21:29:22;21:11:24;21:18:36;21:16:17;21:13:26;21:12:32;21:16:54;21:12:22;21:15:49;21:12:08;21:13:21;21:16:49;21:11:15;21:11:59;21:15:07;21:21:54;21:12:52;21:14:58;21:18:51;21:16:56;21:20:42;21:15:38;21:27:26;21:12:58;21:12:42;21:11:38;21:16:57;21:14:56;21:16:57;21:17:40;21:10:42;21:17:46;21:16:13;21:10:10;21:12:01
